,well_name,de_operator,county,state,address,de_status,de_well_type,de_direction,de_closest_city,de_latitude,de_longitude,de_oil_bbls,de_gas_mcf,de_production_start,de_production_end
61,Kline Federal 5300 31-18 7T Sec.17/18,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.074452,-103.602935,285,1.1 k,September 2015,December 2025
62,Kline Federal 5300 31-18 6B,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Abandoned,Oil & Gas,H,Williston,48.074362,-103.602934,,,September 2015,December 2025
63,Wade Federal 5300 21-30 12T,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.048736,-103.602904,501,1.9 k,May 2015,December 2025
64,WADE FEDERAL 5300 21-30 13B,OASIS PETROLEUM NORTH AMERICA LLC,Mckenzie,ND,"1001 Fannin, Suite 1500 Houston TX 77002",Active,Oil & Gas,H,Williston,48.048917,-103.6029,50,245,April 2015,December 2025
65,Kline Federal 5300 11-18 5B,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.078987,-103.602835,318,2.4 k,August 2015,December 2025
66,Kline Federal 5300 11-18 3T,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.079069,-103.602783,158,743,August 2015,December 2025
67,Gramma Federal 5300 41-3112B,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.026154,-103.602783,723,3.8 k,June 2015,December 2025
68,Gramma Federal 5300 41-31 13T,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.026335,-103.602785,357,2.9 k,July 2015,December 2025
69,Kline Federal 5300 11-18 2B,OASIS PETROLEUM NORTH AMERICA LLC,,ND,"1001 Fannin, Suite 1500",Active,Oil & Gas,H,Williston,48.079234,-103.60267,206,1.9 k,September 2015,December 2025
70,Lewis Federa1 5300 11‐,OASIS PETROLEUM NORTH AMERICA LLC,,ND,揃ｌ,Active,Oil & Gas,H,Williston,48.035835,-103.603111,1.8 k,4.2 k,September 2019,December 2025
71,Lewis Federal 5300 11-31 2B,OASIS PETROLEUM NORTH AMERICA LLC,Mckenzie,ND,,Active,Oil & Gas,H,Williston,48.035926,-103.6031,711,3.9 k,September 2019,December 2025
72,KLINE FEDERAL 5300 31-18 15T LOT3,OASIS PETROLEUM NORTH AMERICA LLC,Mckenzie,ND,P.O. Box 3886 Enid OK 73702,Active,Oil & Gas,H,Williston,48.074633,-103.602938,489,1.8 k,September 2015,December 2025
73,Lewis Federal 5300 11-31 4BR,OASIS PETROLEUM NORTH AMERICA LLC,Mckenzie,ND,,Active,Oil & Gas,H,Williston,48.035654,-103.60313,511,1.7 k,September 2019,December 2025
75,Atl mta #1 SWD,"CONTINENTAL RESOURCES, INC.",Williams,ND,P. 0. Box 268870,Active,Salt Water Disposal,V,Williston,48.110204,-103.731807,,,,
