well_file_number,well_name,operator,api,county,state,address,latitude,longitude,de_url,de_found,de_status,de_well_type,de_direction,de_operator,de_closest_city,de_latitude,de_longitude,de_oil_bbls,de_gas_mcf,de_production_start,de_production_end
28599,Chalmers 5301 44-24 3BR,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5301-44-24-3br/33-053-06010,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.055776,-103.604903,1.3 k,4 k,December 2014,December 2025
28600,~!8T1'3N P'>IOrw,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5301-44-24-4t2/33-053-05541,1,Dry Hole,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.055504,-103.604905,N/A,N/A,N/A,N/A
28601,Chalmers Wade Federal 5301 44-2412TXR,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-wade-federal-5301-44-24-12txr/33-053-06012,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.055551,-103.604905,540,3.6 k,December 2014,December 2025
28633,Chalmers 5300 21-19 5T,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5300-21-19-5t/33-053-06018,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.061796,-103.602522,396,1 k,July 2015,December 2025
28634,Chalmers 5300 21-19 6B,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5300-21-19-6b/33-053-06019,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.061706,-103.602522,292,553,July 2015,December 2025
28636,Chalmers 5300 21-19 ST,Oasis Petroleum North America,,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5300-21-19-8t/33-053-06021,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.061525,-103.602523,227,1.5 k,July 2015,December 2025
28637,Chalmers 5300 21-19 1 OT,Oasis Petroleum North America LLC,33-053-06022,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5300-21-19-10t/33-053-06022,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.061344,-103.602525,248,1.3 k,May 2015,December 2025
28648,Chalmers 5300 21-19 9B,Oasis Petroleum North America,33-053-06023,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5300-21-19-9b/33-053-06023,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.061434,-103.602524,321,1.2 k,May 2015,December 2025
28649,Chalmers 5300 21-19 11 B,Oasis Petroleum North America,33-053-06024,,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5300-21-19-11b/33-053-06024,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.061254,-103.602525,135,770,May 2015,December 2025
28651,Kline Federal 5300 41-18 9T,Oasis Petroleum North America,33-053-06025,McKenzie,ND,"1001 Fannin, Suite 1500",,,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-41-18-9t/33-053-06025,1,Active,Oil & Gas,H,OASIS PETROLEUM NORTH AMERICA LLC,Williston,48.069087,-103.602869,379,2.6 k,September 2015,December 2025
